trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
93,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,14,-2.8717602870477386,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.002, 'e': 0.8286147072326806}",35,0,-103.08371265438261,"{0: 24, 1: 6, 2: 2, 3: 2, 4: 1}",0
95,False,"{'a': 0.002, 'e': 0.8269591339433623}",25,0,-83.8437859554147,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
96,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-97.53622143720776,"{0: 10, 1: 6, 2: 2, 3: 1, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.8236579042685769}",30,0,-132.8287854987416,"{0: 17, 1: 4, 2: 7, 3: 1, 4: 1}",0
98,False,"{'a': 0.002, 'e': 0.8220122346781865}",20,0,-29.555456874715446,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
99,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,15,-0.07217698338844603,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.002, 'e': 0.8187307530779818}",20,0,-71.9992719770039,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
101,False,"{'a': 0.002, 'e': 0.8170949279422366}",25,0,-123.65736252433312,"{0: 15, 1: 4, 2: 2, 3: 3, 4: 1}",0
102,False,"{'a': 0.002, 'e': 0.8154623711872927}",25,0,-80.4040210764602,"{0: 17, 1: 2, 2: 3, 3: 3, 4: 0}",0
103,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-125.0749870995481,"{0: 17, 1: 3, 2: 2, 3: 0, 4: 3}",0
104,False,"{'a': 0.002, 'e': 0.812207036711939}",30,0,-87.20676551453285,"{0: 21, 1: 3, 2: 4, 3: 1, 4: 1}",0
105,False,"{'a': 0.002, 'e': 0.8105842459701871}",25,0,-82.73727689352727,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
106,False,"{'a': 0.002, 'e': 0.8089646975664998}",30,0,-189.61182048695966,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
107,False,"{'a': 0.002, 'e': 0.8073483850226815}",25,0,-19.42639564655768,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
108,False,"{'a': 0.002, 'e': 0.8057353018734796}",35,0,-184.20727763454545,"{0: 21, 1: 1, 2: 9, 3: 2, 4: 2}",0
109,False,"{'a': 0.002, 'e': 0.8041254416665596}",25,12,-113.39687597687133,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 3}",1
110,False,"{'a': 0.002, 'e': 0.8025187979624785}",35,7,-123.03287340638984,"{0: 18, 1: 4, 2: 3, 3: 1, 4: 2}",1
111,False,"{'a': 0.002, 'e': 0.8009153643346592}",30,0,-110.22113479852284,"{0: 20, 1: 2, 2: 5, 3: 2, 4: 1}",0
112,False,"{'a': 0.002, 'e': 0.7993151343693651}",20,0,-116.43385378421429,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
113,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,7,-46.99236156197422,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 1}",1
114,False,"{'a': 0.002, 'e': 0.7961242598354538}",20,14,-3.8338763905991886,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.794533602503334}",25,0,-96.38880048370659,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.7929461233066837}",20,0,-93.98509771664192,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
117,False,"{'a': 0.002, 'e': 0.7913618158955839}",20,0,-81.14474576231272,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.7897806739328027}",30,0,-99.33157772365266,"{0: 21, 1: 4, 2: 2, 3: 2, 4: 1}",0
119,False,"{'a': 0.002, 'e': 0.7882026910937704}",25,19,-13.019635480978197,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
120,False,"{'a': 0.002, 'e': 0.7866278610665535}",25,0,-134.3380102194419,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
121,False,"{'a': 0.002, 'e': 0.7850561775518295}",20,16,7.980103918915956,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'a': 0.002, 'e': 0.7834876342628625}",30,9,-87.51517198710863,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 1}",1
123,False,"{'a': 0.002, 'e': 0.7819222249254772}",25,0,-63.92001610365662,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
124,False,"{'a': 0.002, 'e': 0.7803599432780343}",20,0,12.580940430900403,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.002, 'e': 0.7788007830714049}",20,0,-63.193269007292386,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
126,False,"{'a': 0.002, 'e': 0.7772447380689461}",20,0,-42.13105638043823,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
127,False,"{'a': 0.002, 'e': 0.775691802046476}",25,0,-124.29890833720665,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
128,False,"{'a': 0.002, 'e': 0.7741419687922484}",20,0,-65.46275787975992,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.002, 'e': 0.772595232106928}",30,11,-52.71182490478072,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 1}",1
130,False,"{'a': 0.002, 'e': 0.7710515858035663}",25,0,-105.25686329628678,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
131,False,"{'a': 0.002, 'e': 0.7695110237075758}",30,0,-130.58791649057872,"{0: 23, 1: 3, 2: 0, 3: 1, 4: 3}",0
132,False,"{'a': 0.002, 'e': 0.7679735396567061}",20,0,-92.73376294593427,"{0: 13, 1: 4, 2: 1, 3: 0, 4: 2}",0
133,False,"{'a': 0.002, 'e': 0.7664391275010192}",25,0,-172.7286502851125,"{0: 14, 1: 0, 2: 7, 3: 2, 4: 2}",0
134,False,"{'a': 0.002, 'e': 0.764907781102864}",20,0,-90.22391383625663,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
135,False,"{'a': 0.002, 'e': 0.7633794943368531}",30,1,-126.09580199799186,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 2}",1
136,False,"{'a': 0.002, 'e': 0.7618542610898376}",25,11,-18.411702322537266,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
137,False,"{'a': 0.002, 'e': 0.7603320752608821}",20,0,-128.72357240177843,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
138,False,"{'a': 0.002, 'e': 0.7588129307612413}",30,14,-64.68879174162241,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
139,False,"{'a': 0.002, 'e': 0.7572968215143355}",30,0,-148.6588597923245,"{0: 19, 1: 3, 2: 4, 3: 2, 4: 2}",1
140,False,"{'a': 0.002, 'e': 0.7557837414557255}",20,0,-73.52623281408853,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
141,False,"{'a': 0.002, 'e': 0.754273684533089}",25,0,-200.044058493157,"{0: 14, 1: 3, 2: 3, 3: 1, 4: 4}",0
142,False,"{'a': 0.002, 'e': 0.7527666447061963}",30,0,-119.67936136317297,"{0: 17, 1: 3, 2: 9, 3: 0, 4: 1}",0
143,False,"{'a': 0.002, 'e': 0.751262615946886}",20,6,-15.27214880703741,"{0: 10, 1: 1, 2: 3, 3: 0, 4: 0}",1
144,False,"{'a': 0.002, 'e': 0.7497615922390413}",20,0,-41.789619095060665,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
145,False,"{'a': 0.002, 'e': 0.7482635675785653}",25,0,-95.97300318477183,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
146,False,"{'a': 0.002, 'e': 0.7467685359733571}",30,0,-98.4284925268867,"{0: 22, 1: 3, 2: 3, 3: 0, 4: 2}",0
147,False,"{'a': 0.002, 'e': 0.7452764914432887}",20,7,-19.34116503178208,"{0: 9, 1: 3, 2: 0, 3: 1, 4: 0}",1
148,False,"{'a': 0.002, 'e': 0.7437874280201796}",20,0,-75.39682034452434,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
149,False,"{'a': 0.002, 'e': 0.7423013397477743}",20,0,-125.79634026915383,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
150,False,"{'a': 0.002, 'e': 0.7408182206817179}",20,0,-20.432931749401423,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
151,False,"{'a': 0.002, 'e': 0.7393380648895319}",20,10,-7.994008048012365,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
152,False,"{'a': 0.002, 'e': 0.7378608664505911}",25,2,-95.41927942147933,"{0: 17, 1: 2, 2: 1, 3: 1, 4: 2}",1
153,False,"{'a': 0.002, 'e': 0.7363866194561001}",30,16,-108.29075963754734,"{0: 8, 1: 2, 2: 1, 3: 1, 4: 2}",1
154,False,"{'a': 0.002, 'e': 0.7349153180090687}",20,9,5.603536706027465,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
155,False,"{'a': 0.002, 'e': 0.7334469562242892}",20,0,-100.60140056616633,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
156,False,"{'a': 0.002, 'e': 0.7319815282283126}",25,7,-16.07577307618069,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
157,False,"{'a': 0.002, 'e': 0.7305190281594249}",25,0,-131.43580410222293,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
158,False,"{'a': 0.002, 'e': 0.7290594501676237}",25,13,-4.224226515850262,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
159,False,"{'a': 0.002, 'e': 0.7276027884145955}",20,0,-77.82284273701784,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
160,False,"{'a': 0.002, 'e': 0.7261490370736909}",25,0,-183.9428427279434,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
161,False,"{'a': 0.002, 'e': 0.7246981903299029}",25,0,-87.94641286109889,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
162,False,"{'a': 0.002, 'e': 0.7232502423798424}",25,18,-6.5864368981314545,"{0: 6, 1: 0, 2: 0, 3: 1, 4: 0}",1
163,False,"{'a': 0.002, 'e': 0.7218051874317158}",30,0,-91.29691980611346,"{0: 19, 1: 1, 2: 9, 3: 1, 4: 0}",0
164,False,"{'a': 0.002, 'e': 0.7203630197053014}",30,0,-268.56151596865317,"{0: 17, 1: 1, 2: 3, 3: 5, 4: 4}",0
